epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6947254538536072,50.25157232704402,0.716442417105039,11.530398322851154
2,0.6458583283424377,71.9496855345912,0.5409209231535593,99.16142557651992
3,0.5497289621829986,93.45911949685535,0.4640862931807836,99.58071278825996
4,0.4799772417545319,96.1006289308176,0.41918584803740183,99.37106918238993
5,0.4395085483789444,95.9748427672956,0.3696751073002815,100.0
6,0.39682463228702547,96.47798742138365,0.3443262830376625,100.0
7,0.3647295504808426,96.66666666666667,0.3103884423772494,100.0
8,0.3372209417819977,96.16352201257861,0.2846578369537989,100.0
9,0.31110285997390746,96.54088050314465,0.26822835132479667,100.0
10,0.29180707931518557,96.60377358490567,0.2493383392691612,100.0
