epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7923780598423698,49.20289855072464,0.8823047884753052,10.387323943661972
2,0.6851551139896567,49.710144927536234,0.7800357643987091,10.73943661971831
3,0.6289826455441389,57.7536231884058,0.6742735236463412,58.274647887323944
4,0.5620283762162382,70.79710144927536,0.5960215200001086,87.32394366197182
5,0.4803534360094504,84.71014492753623,0.5792342260689802,79.75352112676056
6,0.44961804287000134,86.08695652173913,0.4697835214540992,96.83098591549296
7,0.37804860553958197,94.56521739130434,0.42593909359314075,96.47887323943662
8,0.3478457365523685,94.71014492753623,0.3721110140773612,97.1830985915493
9,0.3041718056933446,96.8840579710145,0.314327617766152,99.11971830985915
10,0.29209268431771884,96.81159420289855,0.3006602785956692,97.53521126760563
