epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7228880849751559,50.79710144927536,0.5238686157783992,89.61267605633803
2,0.7245297770608555,50.79710144927536,0.5312552347149647,89.61267605633803
3,0.7162924896587025,50.79710144927536,0.5406291560387947,89.61267605633803
4,0.7127787931398912,50.79710144927536,0.550312404061707,89.61267605633803
5,0.7118501365184784,50.79710144927536,0.5585197000436379,89.61267605633803
6,0.7039469317956404,50.79710144927536,0.5666710801527534,89.61267605633803
7,0.7039132483980872,50.79710144927536,0.5738949003353925,89.61267605633803
8,0.7040055055509914,50.79710144927536,0.5797374760600883,89.61267605633803
9,0.7011680061166937,50.79710144927536,0.5856070619233897,89.61267605633803
10,0.6999953592365439,50.79710144927536,0.5913385270347058,89.61267605633803
