epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.693894703279842,52.17391304347826,0.6443076066567864,89.96478873239437
2,0.6533754833719947,58.405797101449274,0.4151859606655551,91.72535211267606
3,0.590901372784918,67.31884057971014,0.45489845687234903,89.43661971830986
4,0.4866573079065843,74.92753623188406,0.34893616341369255,92.25352112676056
5,0.41841433332725003,80.3623188405797,0.2742067680392467,92.78169014084507
6,0.30631921338764106,87.89855072463769,0.19548256679529874,93.48591549295774
7,0.25272023440762,89.34782608695652,0.2222824670164518,92.0774647887324
8,0.24788976189765063,90.07246376811594,0.10177048933233174,95.4225352112676
9,0.24766031923619183,89.71014492753623,0.15834921304608734,94.8943661971831
10,0.16991922665726056,93.98550724637681,0.1188506337512337,95.24647887323944
