epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6892680728435516,52.6448362720403,0.6334642623152051,93.9068100358423
2,0.5678014242649079,79.65994962216625,0.6182125649281911,78.49462365591398
3,0.45145403683185575,87.78337531486146,0.40402956094060627,98.5663082437276
4,0.3880502891540527,89.98740554156171,0.3676021099090576,94.9820788530466
5,0.3504951375722885,90.11335012594458,0.3066539621778897,98.74551971326164
6,0.31694571107625963,91.81360201511335,0.27037091425486975,98.9247311827957
7,0.27292194724082947,95.15113350125945,0.24219499102660588,99.10394265232975
8,0.24696210384368897,96.09571788413098,0.2208794442670686,99.46236559139786
9,0.22932428777217864,96.78841309823677,0.20731422688279832,99.10394265232975
10,0.21541791170835495,96.66246851385391,0.18855391953672682,99.6415770609319
